Taran   378|590   OrelQ   408|550   rugasz   50   2021/02/05 10:00:44   2/6   2021/02/06 12:03:14   
Taran   385|599   OrelQ   421|558   rugasz   54   2021/02/05 10:01:07   2/3   2021/02/06 14:26:10   
Taran   498|590   OrelQ   466|543   DORODNY_OCHOTNIK   56   2021/02/05 10:01:19   1/2   2021/02/06 15:38:11   
Taran   414|583   OrelQ   433|531   Primokret   55   2021/02/05 10:01:42   4/4   2021/02/06 14:51:47   
Taran   414|583   OrelQ   381|549   DORODNY_OCHOTNIK   47   2021/02/05 10:01:48   2/4   2021/02/06 10:42:28   
Taran   394|606   OrelQ   408|563   rugasz   45   2021/02/05 10:01:56   1/3   2021/02/06 09:35:07   
Taran   382|598   OrelQ   395|543   rugasz   56   2021/02/05 10:02:43   3/3   2021/02/06 15:28:50   
Taran   391|598   OrelQ   404|552   rugasz   47   2021/02/05 10:03:07   1/2   2021/02/06 10:56:56   
Taran   389|598   OrelQ   404|556   rugasz   44   2021/02/05 10:03:25   1/3   2021/02/06 09:17:07   
Taran   391|600   OrelQ   395|543   rugasz   57   2021/02/05 10:03:57   3/3   2021/02/06 15:49:35   
Taran   387|604   OrelQ   404|555   rugasz   51   2021/02/05 10:04:06   1/2   2021/02/06 13:04:54   
Taran   391|602   OrelQ   390|546   wojna3333   56   2021/02/05 10:04:49   1/1   2021/02/06 15:15:05   
Taran (1)   392|586   OrelQ   396|545   fluffy1321   41   2021/02/05 10:05:53   1/2   2021/02/06 07:33:13   
Taran   394|582   OrelQ   438|548   Primokret   55   2021/02/05 10:06:40   3/3   2021/02/06 15:04:21   
Taran   405|613   OrelQ   406|556   rugasz   57   2021/02/05 10:07:26   3/3   2021/02/06 15:48:57   
Taran   413|623   OrelQ   403|583   CoTyTutajRobisz   41   2021/02/05 14:04:53   1/3   2021/02/06 11:33:21   
Taran   384|600   OrelQ   407|564   rugasz   42   2021/02/05 14:23:16   2/6   2021/02/06 12:38:16   
Taran   473|614   Puciaty   423|560   rugasz   73   2021/02/04 18:42:20   1/2   2021/02/06 09:02:07   
Taran   391|623   Puciaty   423|558   rugasz   72   2021/02/04 19:41:17   1/1   2021/02/06 09:25:20   
Taran   468|613   Puciaty   421|558   rugasz   72   2021/02/04 20:34:56   1/1   2021/02/06 10:15:46   
Taran   483|596   Puciaty   423|558   rugasz   71   2021/02/04 21:03:59   1/1   2021/02/06 10:03:24   
Taran   479|591   Puciaty   417|563   rugasz   68   2021/02/04 21:05:54   1/1   2021/02/06 08:31:49   
Taran   485|586   Puciaty   423|558   rugasz   68   2021/02/04 21:11:10   1/1   2021/02/06 08:37:05   
Taran   390|622   Puciaty   424|559   rugasz   71   2021/02/04 21:19:35   1/1   2021/02/06 10:36:45   
Taran   481|586   Puciaty   421|559   rugasz   65   2021/02/04 21:22:10   1/1   2021/02/06 07:38:16   
Taran   482|586   Puciaty   424|558   rugasz   64   2021/02/04 21:27:33   1/1   2021/02/06 07:00:12   
Topór   473|614   Puciaty   419|564   rugasz   73   2021/02/04 23:18:34   2/2   2021/02/06 13:38:22   
Taran   478|589   Puciaty   424|559   rugasz   61   2021/02/05 04:22:27   1/1   2021/02/06 12:32:53   
Taran   394|610   Puciaty   422|558   rugasz   59   2021/02/05 04:23:58   1/1   2021/02/06 11:09:34   
Taran   394|608   Puciaty   425|558   rugasz   58   2021/02/05 04:27:27   1/1   2021/02/06 11:05:54   
Taran   396|607   Puciaty   424|559   rugasz   55   2021/02/05 04:30:36   1/1   2021/02/06 09:27:09   
Taran   400|606   Puciaty   421|558   rugasz   52   2021/02/05 05:48:20   1/1   2021/02/06 09:05:37   
Taran   395|601   Puciaty   423|558   rugasz   51   2021/02/05 06:23:53   1/1   2021/02/06 09:07:25   
Taran   400|602   Puciaty   424|558   rugasz   50   2021/02/05 07:50:48   1/1   2021/02/06 09:57:03   
Taran   398|600   Puciaty   424|560   rugasz   47   2021/02/05 08:18:02   1/1   2021/02/06 09:08:53   
Taran   400|598   Puciaty   425|558   rugasz   47   2021/02/05 08:27:13   1/5   2021/02/06 09:01:16   
Taran   402|598   Puciaty   423|560   rugasz   43   2021/02/05 12:00:27   1/1   2021/02/06 10:37:13   
Taran   404|598   Puciaty   424|560   rugasz   42   2021/02/05 12:21:37   1/1   2021/02/06 10:43:33   
Taran   401|595   Puciaty   424|559   rugasz   42   2021/02/05 12:22:40   3/4   2021/02/06 10:37:40   
Taran   399|600   Puciaty   418|562   rugasz   42   2021/02/05 12:23:42   1/1   2021/02/06 10:31:22   
Taran   400|595   Puciaty   423|560   rugasz   41   2021/02/05 12:25:01   1/1   2021/02/06 10:13:47   
Taran   401|600   Puciaty   418|562   rugasz   41   2021/02/05 12:25:59   1/4   2021/02/06 10:06:54   
