WhiteSeagull
527|634
Taran,582|558,17.12.19 07:00:38:200,Mentler
Taran,574|652,17.12.19 07:29:13:948,Lukai
Taran,588|597,17.12.19 08:08:02:072,ElSamag
Taran,593|603,17.12.19 08:46:50:997,ElSamag
Taran,573|636,17.12.19 09:52:48:116,ElSamag
Taran,573|636,17.12.19 09:52:59:830,ElSamag
Taran,596|558,17.12.19 11:03:06:859,Mentler
Taran,575|649,17.12.19 11:26:26:028,ElSamag
Taran,591|647,17.12.19 11:36:58:194,Cuthbert
Taran,598|558,17.12.19 11:40:58:935,Mentler
Taran,599|558,17.12.19 12:00:17:049,Mentler
Taran,566|615,17.12.19 12:11:49:475,Mahazelus
Taran,601|601,17.12.19 12:30:26:053,ElSamag
Taran,571|601,17.12.19 12:33:19:790,CZARNA STOPA
Taran,584|583,17.12.19 13:26:01:711,Darro07
517|611
Taran,622|567,17.12.19 07:00:44:858,Podły Inkasent
Taran,624|556,17.12.19 10:01:35:697,Podły Inkasent
Taran,548|658,17.12.19 10:14:49:782,Lukai
Taran,558|654,17.12.19 11:41:56:587,Lukai
Taran,599|665,17.12.19 12:01:19:197,Mahazelus
530|625
Taran,568|601,17.12.19 07:00:51:485,Mahazelus
Taran,568|603,17.12.19 07:02:25:063,Mahazelus
Taran,606|561,17.12.19 07:05:56:659,Mentler
Taran,581|566,17.12.19 07:13:32:675,Lukai
Taran,571|634,17.12.19 07:30:29:557,ElSamag
Taran,630|613,17.12.19 07:45:58:037,Mentler
Taran,607|560,17.12.19 07:46:33:310,Mentler
Taran,606|556,17.12.19 08:38:05:361,Mentler
Taran,609|559,17.12.19 08:46:31:502,Mentler
Taran,561|574,17.12.19 09:36:30:103,ElSamag
Taran,581|593,17.12.19 09:50:37:019,ElSamag
Taran,562|574,17.12.19 09:50:49:830,ElSamag
Taran,598|559,17.12.19 09:50:51:129,Pawwe
Taran,598|559,17.12.19 09:51:41:318,Pawwe
Taran,560|674,17.12.19 10:46:26:923,Lukai
Taran,561|627,17.12.19 11:12:49:467,Mahazelus
Taran,559|613,17.12.19 11:21:39:936,Mahazelus
Taran,562|627,17.12.19 11:40:18:258,Mahazelus
Taran,562|619,17.12.19 11:54:02:679,Mahazelus
Taran,561|615,17.12.19 11:54:25:931,Mahazelus
Taran,563|627,17.12.19 12:07:57:375,Mahazelus
Taran,563|629,17.12.19 12:12:57:625,Mahazelus
Taran,568|615,17.12.19 12:29:57:742,Mahazelus
Taran,579|645,17.12.19 12:36:49:239,ElSamag
Taran,566|577,17.12.19 13:40:23:365,CZARNA STOPA
528|626
Taran,591|625,17.12.19 07:01:11:407,ElSamag
Taran,588|650,17.12.19 07:02:28:897,ElSamag
Taran,587|650,17.12.19 07:04:56:103,ElSamag
Taran,565|644,17.12.19 07:11:53:328,ElSamag
Taran,554|669,17.12.19 07:26:15:443,Lukai
Taran,565|635,17.12.19 07:31:45:562,Psuja90
Taran,573|640,17.12.19 07:56:05:658,Psuja90
Taran,566|636,17.12.19 08:05:17:111,Psuja90
Taran,568|650,17.12.19 09:02:52:945,Mahazelus
Taran,578|569,17.12.19 09:05:20:219,ElSamag
Taran,566|644,17.12.19 09:21:25:414,Psuja90
Taran,570|648,17.12.19 09:23:44:554,Mahazelus
Taran,568|594,17.12.19 09:34:38:589,CZARNA STOPA
Taran,610|560,17.12.19 09:46:43:303,Mentler
Taran,609|558,17.12.19 10:00:52:240,Mentler
Taran,623|579,17.12.19 10:07:56:949,Mentler
Taran,603|551,17.12.19 10:09:48:400,Mentler
Taran,608|557,17.12.19 10:14:32:634,Mentler
Taran,568|646,17.12.19 10:35:19:802,Psuja90
Taran,573|629,17.12.19 12:12:53:224,Mahazelus
526|633
Taran,568|666,17.12.19 07:01:29:910,St3rydPC
Taran,601|548,17.12.19 07:02:50:798,St3rydPC
Taran,605|601,17.12.19 07:04:03:567,PE1NN
Taran,576|582,17.12.19 07:04:14:084,ElSamag
Taran,606|602,17.12.19 07:11:40:105,PE1NN
Taran,537|532,17.12.19 07:11:50:152,St3rydPC
Taran,569|634,17.12.19 07:12:19:726,PE1NN
Taran,565|618,17.12.19 07:24:39:748,ElSamag
Taran,577|626,17.12.19 07:51:46:271,PE1NN
Taran,571|658,17.12.19 07:54:23:542,St3rydPC
Taran,570|660,17.12.19 07:59:02:512,St3rydPC
Taran,577|622,17.12.19 08:09:41:216,PE1NN
Taran,571|557,17.12.19 08:10:46:475,St3rydPC
Taran,614|626,17.12.19 08:10:55:300,St3rydPC
Taran,570|589,17.12.19 08:34:37:349,St3rydPC
Taran,576|542,17.12.19 08:35:46:157,St3rydPC
Taran,557|579,17.12.19 08:39:08:143,St3rydPC
Taran,521|515,17.12.19 09:02:13:403,St3rydPC
Taran,610|550,17.12.19 09:12:08:989,St3rydPC
Taran,524|677,17.12.19 09:13:22:132,St3rydPC
nieOpisany,550|645,17.12.19 09:29:20:661,St3rydPC
nieOpisany,550|645,17.12.19 09:29:20:861,St3rydPC
nieOpisany,550|645,17.12.19 09:29:21:061,St3rydPC
nieOpisany,550|644,17.12.19 09:29:21:247,St3rydPC
Taran,576|555,17.12.19 10:03:40:408,St3rydPC
Taran,579|557,17.12.19 10:05:09:850,St3rydPC
Taran,574|638,17.12.19 10:27:56:909,ElSamag
Taran,565|555,17.12.19 12:45:24:268,Lukai
Taran,546|577,17.12.19 13:23:58:342,CZARNA STOPA
Taran,557|582,17.12.19 13:27:52:481,CZARNA STOPA
524|635
Taran,643|595,17.12.19 07:01:31:294,Mentler
Taran,584|672,17.12.19 07:05:24:619,Mahazelus
Taran,641|589,17.12.19 07:06:35:055,Mentler
Taran,574|561,17.12.19 07:22:36:431,Lukai
Taran,548|620,17.12.19 07:22:47:734,Mahazelus
Taran,561|566,17.12.19 07:22:53:788,Lukai
Taran,603|597,17.12.19 07:32:25:979,ElSamag
Taran,544|656,17.12.19 07:33:41:059,Lukai
Taran,567|652,17.12.19 07:39:09:441,Psuja90
Taran,582|566,17.12.19 07:42:33:070,Lukai
Taran,616|547,17.12.19 07:46:17:514,Mentler
Taran,644|593,17.12.19 07:46:39:707,Mentler
Taran,544|657,17.12.19 07:53:46:766,Lukai
Taran,595|653,17.12.19 07:56:17:941,ElSamag
Taran,595|653,17.12.19 07:56:23:590,ElSamag
Taran,645|594,17.12.19 08:03:31:609,Mentler
Taran,649|590,17.12.19 08:19:18:805,Mentler
Taran,568|644,17.12.19 08:19:52:592,Psuja90
Taran,565|619,17.12.19 08:23:17:523,ElSamag
Taran,644|589,17.12.19 08:23:52:726,Mentler
Taran,588|597,17.12.19 08:25:47:254,ElSamag
Taran,588|597,17.12.19 08:25:50:206,ElSamag
Taran,570|576,17.12.19 08:34:07:997,ElSamag
Taran,570|576,17.12.19 08:34:13:219,ElSamag
Taran,567|645,17.12.19 08:35:10:749,ElSamag
Taran,646|593,17.12.19 08:40:22:707,Mentler
Taran,552|650,17.12.19 08:50:03:470,Lukai
Taran,650|588,17.12.19 09:04:58:987,Mentler
Taran,570|638,17.12.19 09:27:58:951,ElSamag
Taran,579|630,17.12.19 09:42:20:500,Lukai
Taran,571|634,17.12.19 09:50:22:885,ElSamag
Taran,588|566,17.12.19 09:51:11:319,Mentler
Taran,572|640,17.12.19 10:24:09:357,ElSamag
Taran,556|592,17.12.19 10:40:16:461,CZARNA STOPA
Taran,651|594,17.12.19 10:45:13:246,Mentler
Taran,541|657,17.12.19 11:42:17:124,Lukai
Taran,573|568,17.12.19 12:23:22:631,ElSamag
Taran,608|646,17.12.19 13:15:23:712,ElSamag
Taran,579|565,17.12.19 13:35:37:270,Lukai
529|642
Taran,581|593,17.12.19 07:01:40:547,ElSamag
Taran,603|597,17.12.19 07:03:03:461,ElSamag
Taran,578|569,17.12.19 07:37:45:848,ElSamag
Taran,586|571,17.12.19 08:09:14:308,Lukai
Taran,588|597,17.12.19 08:19:36:141,ElSamag
Taran,581|566,17.12.19 08:37:34:172,Lukai
Taran,593|603,17.12.19 08:41:42:790,ElSamag
Taran,567|644,17.12.19 08:42:30:922,Mahazelus
Taran,577|587,17.12.19 08:44:15:102,aaasiulek
Taran,555|614,17.12.19 08:44:42:735,Mahazelus
Taran,604|625,17.12.19 09:16:02:054,Pantera Jasło
Szlachcic,594|630,17.12.19 10:53:24:106,Pantera Jasło
